## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| 21 | Kieffer Moore | Penyerang Tengah | 30 | Wales/England | Wrexham AFC | €4.00m |
| - | Jamal Lowe | Penyerang Tengah | 28 | Jamaica/England | Sheffield Wednesday | €1.50m |
| 38 | Christian Saydee | Penyerang Tengah | 21 | England/Liberia | Wigan Athletic | €400k |
| - | Euan Pollock | Penyerang Tengah | 20 | England | Weymouth FC | - |
| - | Daniel Adu-Adjei | Penyerang Tengah | 18 | England/Ghana | HNK Rijeka | - |

## Fulham FC — Musim 20/21

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 1 | Alphonse Areola | Kiper | 28 | France/Philippines | West Ham United | €17.00m |
| 12 | Marek Rodák | Kiper | 24 | Slovakia | Al-Ettifaq FC | €5.00m |
| - | Marcus Bettinelli | Kiper | 29 | England/Italy | Manchester City | €2.50m |
| 31 | Fabri | Kiper | 33 | Spain/Uruguay | Pensiun | €600k |
| 5 | Joachim Andersen | Bek Tengah | 25 | Denmark | Fulham FC | €22.00m |
| 16 | Tosin Adarabioyo | Bek Tengah | 23 | England/Nigeria | Chelsea FC | €12.00m |
| - | Alfie Mawson | Bek Tengah | 27 | England | Pensiun | €4.00m |
| 3 | Michael Hector | Bek Tengah | 28 | Jamaica/England | Tanpa Klub | €3.50m |
